# pressure    , temperature , height      , H2O         , CO2         , O3          , N2O         , CO          , CH4         , O2          , NO          , NO2         , HNO         , OH          , CLO         , N2          , HCN         , HO2         , O         
# [Pa]        , [K]         , [m]         , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]    
3.4646900e-04 , 9.53566e+02 , 1.63000e+05 , 4.75200e-09 , 3.92700e-06 , 3.14100e-13 , 8.07500e-12 , 6.10100e-06 , 1.42100e-10 , 2.89100e-02 , 4.04200e-04 , 5.01500e-15 , 1.13300e-19 , 1.24900e-17 , 4.91300e-14 , 4.96000e-01 , 4.50000e-11 , 1.08800e-13 , 4.71600e-01
3.5625700e-04 , 9.45422e+02 , 1.62000e+05 , 5.60100e-09 , 4.07200e-06 , 3.13300e-13 , 8.84100e-12 , 6.58300e-06 , 1.59400e-10 , 2.94000e-02 , 4.04200e-04 , 5.52100e-15 , 1.68800e-19 , 1.41900e-17 , 4.91300e-14 , 5.00100e-01 , 4.50000e-11 , 9.13200e-14 , 4.67100e-01
3.6643300e-04 , 9.37127e+02 , 1.61000e+05 , 6.60600e-09 , 4.22600e-06 , 3.14000e-13 , 9.68300e-12 , 7.10500e-06 , 1.78900e-10 , 2.99100e-02 , 4.04200e-04 , 6.07900e-15 , 2.51900e-19 , 1.61800e-17 , 4.91300e-14 , 5.04200e-01 , 4.50000e-11 , 7.67700e-14 , 4.62600e-01
3.7702200e-04 , 9.28671e+02 , 1.60000e+05 , 7.79500e-09 , 4.39000e-06 , 3.16200e-13 , 1.06100e-11 , 7.66800e-06 , 2.00900e-10 , 3.04200e-02 , 4.04200e-04 , 6.69400e-15 , 3.76300e-19 , 1.85000e-17 , 4.91300e-14 , 5.08400e-01 , 4.50000e-11 , 6.46300e-14 , 4.58000e-01
3.8804500e-04 , 9.19970e+02 , 1.59000e+05 , 9.19900e-09 , 4.56500e-06 , 3.20200e-13 , 1.16300e-11 , 8.27600e-06 , 2.25700e-10 , 3.09600e-02 , 4.04200e-04 , 7.37100e-15 , 5.62600e-19 , 2.12000e-17 , 4.91300e-14 , 5.12500e-01 , 4.50000e-11 , 5.45100e-14 , 4.53300e-01
3.9952800e-04 , 9.11103e+02 , 1.58000e+05 , 1.08600e-08 , 4.75100e-06 , 3.26000e-13 , 1.27500e-11 , 8.93200e-06 , 2.53700e-10 , 3.15200e-02 , 4.04200e-04 , 8.11600e-15 , 8.41100e-19 , 2.43600e-17 , 4.91300e-14 , 5.16700e-01 , 4.50000e-11 , 4.60600e-14 , 4.48700e-01
4.1149800e-04 , 9.02062e+02 , 1.57000e+05 , 1.28100e-08 , 4.95000e-06 , 3.33800e-13 , 1.39800e-11 , 9.63800e-06 , 2.85100e-10 , 3.20900e-02 , 4.04200e-04 , 8.93500e-15 , 1.25700e-18 , 2.80700e-17 , 4.91300e-14 , 5.20900e-01 , 4.50000e-11 , 3.90200e-14 , 4.44000e-01
4.2398300e-04 , 8.92852e+02 , 1.56000e+05 , 1.51100e-08 , 5.16200e-06 , 3.43800e-13 , 1.53300e-11 , 1.04000e-05 , 3.20400e-10 , 3.26800e-02 , 4.04200e-04 , 9.83200e-15 , 1.87800e-18 , 3.24200e-17 , 4.91300e-14 , 5.25100e-01 , 4.50000e-11 , 3.31500e-14 , 4.39200e-01
4.3701600e-04 , 8.83465e+02 , 1.55000e+05 , 1.78200e-08 , 5.38900e-06 , 3.56400e-13 , 1.68000e-11 , 1.12100e-05 , 3.60000e-10 , 3.32900e-02 , 4.04200e-04 , 1.08100e-14 , 2.80200e-18 , 3.75400e-17 , 4.91300e-14 , 5.29300e-01 , 4.50000e-11 , 2.82400e-14 , 4.34400e-01
4.5063000e-04 , 8.73808e+02 , 1.54000e+05 , 2.09900e-08 , 5.63100e-06 , 3.71900e-13 , 1.84200e-11 , 1.20800e-05 , 4.04400e-10 , 3.39300e-02 , 4.04200e-04 , 1.18900e-14 , 4.17300e-18 , 4.35800e-17 , 4.91300e-14 , 5.33600e-01 , 4.50000e-11 , 2.41400e-14 , 4.29500e-01
