# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C       
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2] 
7.98215e+04 , +6.9845e+05 , +6.5001e+05 , +4.8445e+04 , +0.0000e+00 , +9.1253e+01 , -9.1253e+01 , +6.9845e+05 , +6.5010e+05 , +4.8354e+04 , +0.0000e+00 
1.01489e+05 , +8.0194e+05 , +7.5350e+05 , +4.8442e+04 , +0.0000e+00 , +8.8256e+01 , -8.8256e+01 , +8.0194e+05 , +7.5359e+05 , +4.8354e+04 , +0.0000e+00 
1.29039e+05 , +9.0809e+05 , +8.5965e+05 , +4.8439e+04 , +0.0000e+00 , +8.5168e+01 , -8.5168e+01 , +9.0809e+05 , +8.5973e+05 , +4.8354e+04 , +0.0000e+00 
1.64067e+05 , +1.0186e+06 , +9.7020e+05 , +4.8436e+04 , +0.0000e+00 , +8.1992e+01 , -8.1992e+01 , +1.0186e+06 , +9.7029e+05 , +4.8354e+04 , +0.0000e+00 
2.08604e+05 , +1.1325e+06 , +1.0840e+06 , +4.8433e+04 , +0.0000e+00 , +7.8732e+01 , -7.8732e+01 , +1.1325e+06 , +1.0841e+06 , +4.8354e+04 , +0.0000e+00 
2.65230e+05 , +1.2424e+06 , +1.1939e+06 , +4.8429e+04 , +0.0000e+00 , +7.5425e+01 , -7.5425e+01 , +1.2424e+06 , +1.1940e+06 , +4.8354e+04 , +0.0000e+00 
3.37227e+05 , +1.3520e+06 , +1.3036e+06 , +4.8426e+04 , +0.0000e+00 , +7.2101e+01 , -7.2101e+01 , +1.3520e+06 , +1.3037e+06 , +4.8354e+04 , +0.0000e+00 
4.28769e+05 , +1.4666e+06 , +1.4182e+06 , +4.8423e+04 , +0.0000e+00 , +6.8804e+01 , -6.8804e+01 , +1.4666e+06 , +1.4183e+06 , +4.8354e+04 , +0.0000e+00 
5.45159e+05 , +1.5792e+06 , +1.5308e+06 , +4.8419e+04 , +0.0000e+00 , +6.5559e+01 , -6.5559e+01 , +1.5792e+06 , +1.5308e+06 , +4.8354e+04 , +0.0000e+00 
6.93145e+05 , +1.7021e+06 , +1.6537e+06 , +4.8416e+04 , +0.0000e+00 , +6.2382e+01 , -6.2382e+01 , +1.7021e+06 , +1.6537e+06 , +4.8354e+04 , +0.0000e+00 
8.81301e+05 , +1.8260e+06 , +1.7775e+06 , +4.8413e+04 , +0.0000e+00 , +5.9303e+01 , -5.9303e+01 , +1.8260e+06 , +1.7776e+06 , +4.8354e+04 , +0.0000e+00 
1.12053e+06 , +1.9623e+06 , +1.9139e+06 , +4.8410e+04 , +0.0000e+00 , +5.6344e+01 , -5.6344e+01 , +1.9623e+06 , +1.9139e+06 , +4.8354e+04 , +0.0000e+00 
1.42471e+06 , +2.1022e+06 , +2.0538e+06 , +4.8407e+04 , +0.0000e+00 , +5.3519e+01 , -5.3519e+01 , +2.1022e+06 , +2.0539e+06 , +4.8354e+04 , +0.0000e+00 
