# pressure  , U_LW        , D_LW        , N_LW        , U_SW        , D_SW        , N_SW        , U           , D           , N           , C           , tot      
# [Pa]      , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]     , [W m-2]  
8.38552e+05 , +1.0456e+05 , +1.0455e+05 , +1.0509e+01 , +2.8573e+02 , +3.5056e+02 , -6.4830e+01 , +1.0484e+05 , +1.0490e+05 , -5.4321e+01 , +0.0000e+00, +0.0000e+00 
1.23815e+06 , +1.5435e+05 , +1.5434e+05 , +1.1011e+01 , +2.0165e+02 , +2.3507e+02 , -3.3427e+01 , +1.5456e+05 , +1.5458e+05 , -2.2415e+01 , +0.0000e+00, +0.0000e+00 
1.82817e+06 , +2.2786e+05 , +2.2785e+05 , +1.4139e+01 , +1.2648e+02 , +1.4316e+02 , -1.6682e+01 , +2.2799e+05 , +2.2799e+05 , -2.5434e+00 , +0.0000e+00, +0.0000e+00 
2.69936e+06 , +3.3639e+05 , +3.3636e+05 , +2.3071e+01 , +6.6233e+01 , +7.3788e+01 , -7.5549e+00 , +3.3645e+05 , +3.3644e+05 , +1.5516e+01 , +0.0000e+00, +0.0000e+00 
3.98570e+06 , +4.9660e+05 , +4.9655e+05 , +4.4042e+01 , +2.6468e+01 , +2.9193e+01 , -2.7253e+00 , +4.9662e+05 , +4.9658e+05 , +4.1316e+01 , +1.0872e-14, +0.0000e+00 
5.88503e+06 , +7.3310e+05 , +7.3301e+05 , +8.9933e+01 , +7.1816e+00 , +7.8458e+00 , -6.6417e-01 , +7.3311e+05 , +7.3302e+05 , +8.9269e+01 , +0.0000e+00, +0.0000e+00 
8.68945e+06 , +1.0823e+06 , +1.0821e+06 , +1.8357e+02 , +1.1464e+00 , +1.2396e+00 , -9.3247e-02 , +1.0823e+06 , +1.0821e+06 , +1.8348e+02 , +0.0000e+00, +0.0000e+00 
1.28303e+07 , +1.5977e+06 , +1.5974e+06 , +3.5990e+02 , +8.7096e-02 , +9.3520e-02 , -6.4236e-03 , +1.5977e+06 , +1.5974e+06 , +3.5989e+02 , +2.1319e-14, +0.0000e+00 
1.89444e+07 , +2.3587e+06 , +2.3580e+06 , +6.6630e+02 , +2.2112e-03 , +2.3681e-03 , -1.5684e-04 , +2.3587e+06 , +2.3580e+06 , +6.6630e+02 , +0.0000e+00, +0.0000e+00 
2.79720e+07 , +3.4818e+06 , +3.4808e+06 , +9.6525e+02 , +5.2595e-07 , +2.0320e-06 , -1.5061e-06 , +3.4818e+06 , +3.4808e+06 , +9.6525e+02 , +0.0000e+00, +0.0000e+00 
2.80000e+07 , +3.4850e+06 , +3.4843e+06 , +7.1030e+02 , +1.6721e-07 , +1.6721e-06 , -1.5048e-06 , +3.4850e+06 , +3.4843e+06 , +7.1030e+02 , +0.0000e+00, +0.0000e+00 
